RekNr,,Valuta,Datum,Tijdstip,,Type,,,Aantal,Per aandeel,Bedrag,,,,,,ISIN,Symbool,,,,,Omschrijving,,,,,,,Omschrijving overzicht,,,,,,
5,100,EUR,2020-03-17,0:00:00,J,TOEK,1,EUR,3231,"0,13",0,0,0,0,25-3-2020,190713792,NL0009272749,TDT,DIV,1/1/1900,0,300,,,,,,,,,,,,,,
5,1000,EUR,2020-03-19,8:59:44,J,SV,1,EUR,"32094,15",1,"32094,15",0,0,0,20-3-2020,190738043,,AEX,PUT,3/20/2020,520,3000,,,,,3/19/2020,Indexopties,103242,AEX P MAR 2020 520.00,0,37,0,5026,0,2
5,100,EUR,2020-03-19,9:54:26,J,V,1,EUR,-2026,"22,199",0,"51,48",0,0,23-3-2020,190737990,IE00B945VV12,VEUR NA,,1/1/1900,0,100,,,,,3/19/2020,Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0,38,0,0,0,1
5,100,EUR,2020-03-19,8:59:44,J,SV,1,EUR,-3,107,0,"5,85",0,0,20-3-2020,190738043,,AEX,PUT,3/20/2020,520,3000,,,,,3/19/2020,Indexopties,103242,AEX P MAR 2020 520.00,0,37,0,0,0,1
5,1000,EUR,2020-03-19,9:57:38,J,V,1,EUR,"46310,16",1,"46310,16",0,0,0,23-3-2020,190738031,IE00B3VVMM84,VFEM NA,,1/1/1900,0,100,,,,,3/19/2020,Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0,38,0,0,0,2
5,100,EUR,2020-03-19,9:56:17,J,V,1,EUR,-1224,"42,226048",0,"58,18",0,0,23-3-2020,190738014,IE00B3XXRP09,VUSA NA,,1/1/1900,0,100,,,,,3/19/2020,Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0,38,0,0,0,1
5,1000,EUR,2020-03-19,9:56:17,J,V,1,EUR,"51626,5",1,"51626,5",0,0,0,23-3-2020,190738014,IE00B3XXRP09,VUSA NA,,1/1/1900,0,100,,,,,3/19/2020,Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0,38,0,5025,0,2
5,1000,EUR,2020-03-19,9:54:26,J,V,1,EUR,"44923,69",1,"44923,69",0,0,0,23-3-2020,190737990,IE00B945VV12,VEUR NA,,1/1/1900,0,100,,,,,3/19/2020,Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0,38,0,5000,0,2
5,100,EUR,2020-03-19,9:57:38,J,V,1,EUR,-1194,"38,83",0,"52,86",0,0,23-3-2020,190738031,IE00B3VVMM84,VFEM NA,,1/1/1900,0,100,,,,,3/19/2020,Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0,38,0,0,0,1
5,1000,EUR,2020-03-25,0:00:00,J,UITK,1,EUR,"357,03",1,"357,03",0,63,0,25-3-2020,190818120,NL0009272749,TDT,DIV,1/1/1900,0,300,,,,,3/25/2020,Dividenden,0,div. VanEck Vectors AEX UCITS ETF,0,0,0,0,0,2
5,100,EUR,2020-03-25,0:00:00,J,UITK,1,EUR,-3231,"0,13",0,0,63,0,25-3-2020,190818120,NL0009272749,TDT,DIV,1/1/1900,0,300,,,,,3/25/2020,Dividenden,0,div. VanEck Vectors AEX UCITS ETF,0,0,0,0,0,1
5,1000,EUR,2020-04-07,0:00:00,J,O-G,1,EUR,375,1,-375,0,0,0,06-04-2020,191104004,,EUR,,01-01-1900,0,4000,Beheervergoeding Balans Vermogensbeheer,,,,07-04-2020,Valuta's,1234,Euro,0,0,0,5200,0,2
5,1000,EUR,2020-04-07,0:00:00,J,O-G,1,EUR,"78,75",1,"-78,75",0,0,0,06-04-2020,191104005,,EUR,,01-01-1900,0,4000,BTW Beheervergoeding Balans Vermogensbeheer,,,,07-04-2020,Valuta's,1234,Euro,0,0,0,5200,0,2
5,100,EUR,2020-02-12, 0:00:00,J,TOEK,1,EUR,4672,"0,1072",0,0,0,0,26-2-2020,190215956,IE0008471009,EUEA,DIV,12/31/1899,0,300,,,,,2/13/2020,Dividenden,0,div. iShares DJ Euro Stoxx 50 (NL),0,0,0,0,0,1
5,1000,EUR,2020-02-26, 0:00:00,J,D,1,EUR,"500,84",1,"500,84",0,0,0,26-2-2020,190353935,IE0008471009,EUEA,DIV,12/31/1899,0,300,,,,,,,,,,,,,,
5,100,EUR,2020-02-26, 0:00:00,J,UITK,1,EUR,-4672,"0,1072",0,0,0,0,26-2-2020,190353935,IE0008471009,EUEA,DIV,12/31/1899,0,300,,,,,,,,,,,,,,
5,100,USD,2020-03-11,0:00:00,J,TOEK,"1,13078",USD,6050,"0,1355",0,0,0,0,25-3-2020,190623730,IE0031442068,ISSP,DIV,1/1/1900,0,300,,,,,3/12/2020,Dividenden,0,div. iShares S&P 500 UCITS ETF (NL) (IUS,0,0,0,0,0,1
5,1000,USD,2020-03-25,0:00:00,J,L,"1,084315",USD,"819,78",1,"819,78",0,0,0,25-3-2020,190834492,IE0031442068,ISSP,DIV,1/1/1900,0,300,,,,,3/25/2020,Dividenden,0,div. iShares S&P 500 UCITS ETF (NL) (IUS,0,0,0,0,0,2
5,100,USD,2020-03-25,0:00:00,J,UITK,"1,084315",USD,-6050,"0,1355",0,0,0,0,25-3-2020,190834492,IE0031442068,ISSP,DIV,1/1/1900,0,300,,,,,3/25/2020,Dividenden,0,div. iShares S&P 500 UCITS ETF (NL) (IUS,0,0,0,0,0,1
5,1000,USD,2020-04-04,0:00:00,J,RTCR,"1,081405",USD,"0,12",1,"0,12",0,0,0,01-04-2020,191082033,,USD,,01-01-1900,0,4000,Credit rente,,01-01-2020,31-03-2020,04-04-2020,Valuta's,99130,US Dollar,0,0,0,0,0,2